gid,nearest_station,nearest_station_distance,parking_score
다사633522,중곡,340.35468060842334,2.595839304148441
다사631492,구의,585.920409294564,1.1271682122466136
다사622499,어린이대공원,177.7816643204578,0.5604667086197267
다사635487,구의,218.1486122721528,3.723435379139233
다사627520,중곡,553.1223917966528,0.5756391691234092
다사642492,강변,749.6564872692311,1.4466687928736535
다사637494,구의,860.0314498117948,1.795181483807361
다사633493,구의,655.3392601455358,1.2589367056142617
다사628507,군자,195.49477985665425,1.3310767639024708
다사637490,구의,542.8041630858261,3.0408744949762574
다사635510,군자,691.3696101828135,1.0717412284896446
다사627495,어린이대공원,500.6084735383794,0.21899182823808583
다사615494,건대입구,529.8369335942674,0.3787774486968589
다사640491,강변,662.1789116450858,2.138447465113827
다사633506,아차산,485.5715899316711,0.9367553750730789
다사655499,광나루,661.5415773683764,0.07502651923596235
다사647494,광나루,283.61264289768326,0.22895389203530858
다사624478,구의,1226.8553497479693,2.0298452468612154
다사620493,건대입구,210.92609370461165,0.5413883000129479
다사636518,중곡,367.63160475422825,0.9574959270425563
다사633488,구의,154.55790460322254,2.84050497261217
다사617487,건대입구,397.946165705431,1.0184594418825437
다사631525,중곡,649.9768024625428,1.2408688729044588
다사615487,건대입구,525.1594059454933,0.8359572168226139
다사632516,중곡,269.3660841031336,1.1238621370155997
다사614488,건대입구,552.1080847924613,1.4353156982287871
다사653500,광나루,567.912800209421,0.08686109030973937
다사643505,아차산,623.3892100653813,0.5424843747995889
다사636522,중곡,492.6878779343946,1.1704026618949206
다사621482,건대입구,872.7566510375225,1.7321380476405541
다사637499,아차산,426.0002698519975,0.5456376145821096
다사638509,아차산,584.7291203303074,1.096652419206206
다사635523,중곡,507.5840897609405,1.4474938649959832
다사631487,구의,195.39557523635025,1.8707820125984633
다사630487,구의,292.6251066924546,1.64239046170621
다사635508,아차산,516.4044331656586,0.9535130179224578
다사649500,광나루,425.5306187670954,0.08382286862728203
다사643486,강변,215.75222714042425,1.0055311011782642
다사632479,구의,753.0834200291312,1.160170420534075
다사647499,광나루,393.37718609049057,0.2661070632964044
다사616494,건대입구,460.49604288164164,0.4534118934683815
다사618501,어린이대공원,616.010867545642,0.2309310408802765
다사642507,아차산,624.221376873359,0.5208327571743231
